"Subject","Start Date","Start Time","End Date","End Time","All Day Event","Description"
"Bible reading","01/28/14","06:00:00 AM","01/28/14","06:30:00 AM","False","Matthew 28; Genesis 28; 1 Corinthians 12; 1 Peter 1; Job 28; Psalms 28; Proverbs 28; Judges 4; Isaiah 28; Acts 28

http://www.biblegateway.com/passage/?search=Matthew%2028,%20Genesis%2028,%201%20Corinthians%2012,%201%20Peter%201,%20Job%2028,%20Psalms%2028,%20Proverbs%2028,%20Judges%204,%20Isaiah%2028,%20Acts%2028&version=NLT"
"Bible reading","01/29/14","06:00:00 AM","01/29/14","06:30:00 AM","False","Mark 1; Genesis 29; 1 Corinthians 13; 1 Peter 2; Job 29; Psalms 29; Proverbs 29; Judges 5; Isaiah 29; Acts 1

http://www.biblegateway.com/passage/?search=Mark%201,%20Genesis%2029,%201%20Corinthians%2013,%201%20Peter%202,%20Job%2029,%20Psalms%2029,%20Proverbs%2029,%20Judges%205,%20Isaiah%2029,%20Acts%201&version=NLT"
"Bible reading","01/30/14","06:00:00 AM","01/30/14","06:30:00 AM","False","Mark 2; Genesis 30; 1 Corinthians 14; 1 Peter 3; Job 30; Psalms 30; Proverbs 30; Judges 6; Isaiah 30; Acts 2

http://www.biblegateway.com/passage/?search=Mark%202,%20Genesis%2030,%201%20Corinthians%2014,%201%20Peter%203,%20Job%2030,%20Psalms%2030,%20Proverbs%2030,%20Judges%206,%20Isaiah%2030,%20Acts%202&version=NLT"
"Bible reading","01/31/14","06:00:00 AM","01/31/14","06:30:00 AM","False","Mark 3; Genesis 31; 1 Corinthians 15; 1 Peter 4; Job 31; Psalms 31; Proverbs 31; Judges 7; Isaiah 31; Acts 3

http://www.biblegateway.com/passage/?search=Mark%203,%20Genesis%2031,%201%20Corinthians%2015,%201%20Peter%204,%20Job%2031,%20Psalms%2031,%20Proverbs%2031,%20Judges%207,%20Isaiah%2031,%20Acts%203&version=NLT"
"Bible reading","02/01/14","06:00:00 AM","02/01/14","06:30:00 AM","False","Mark 4; Genesis 32; 1 Corinthians 16; 1 Peter 5; Job 32; Psalms 32; Proverbs 1; Judges 8; Isaiah 32; Acts 4

http://www.biblegateway.com/passage/?search=Mark%204,%20Genesis%2032,%201%20Corinthians%2016,%201%20Peter%205,%20Job%2032,%20Psalms%2032,%20Proverbs%201,%20Judges%208,%20Isaiah%2032,%20Acts%204&version=NLT"
"Bible reading","02/02/14","06:00:00 AM","02/02/14","06:30:00 AM","False","Mark 5; Genesis 33; 2 Corinthians 1; 2 Peter 1; Job 33; Psalms 33; Proverbs 2; Judges 9; Isaiah 33; Acts 5

http://www.biblegateway.com/passage/?search=Mark%205,%20Genesis%2033,%202%20Corinthians%201,%202%20Peter%201,%20Job%2033,%20Psalms%2033,%20Proverbs%202,%20Judges%209,%20Isaiah%2033,%20Acts%205&version=NLT"
"Bible reading","02/03/14","06:00:00 AM","02/03/14","06:30:00 AM","False","Mark 6; Genesis 34; 2 Corinthians 2; 2 Peter 2; Job 34; Psalms 34; Proverbs 3; Judges 10; Isaiah 34; Acts 6

http://www.biblegateway.com/passage/?search=Mark%206,%20Genesis%2034,%202%20Corinthians%202,%202%20Peter%202,%20Job%2034,%20Psalms%2034,%20Proverbs%203,%20Judges%2010,%20Isaiah%2034,%20Acts%206&version=NLT"
"Bible reading","02/04/14","06:00:00 AM","02/04/14","06:30:00 AM","False","Mark 7; Genesis 35; 2 Corinthians 3; 2 Peter 3; Job 35; Psalms 35; Proverbs 4; Judges 11; Isaiah 35; Acts 7

http://www.biblegateway.com/passage/?search=Mark%207,%20Genesis%2035,%202%20Corinthians%203,%202%20Peter%203,%20Job%2035,%20Psalms%2035,%20Proverbs%204,%20Judges%2011,%20Isaiah%2035,%20Acts%207&version=NLT"
"Bible reading","02/05/14","06:00:00 AM","02/05/14","06:30:00 AM","False","Mark 8; Genesis 36; 2 Corinthians 4; 1 John 1; Job 36; Psalms 36; Proverbs 5; Judges 12; Isaiah 36; Acts 8

http://www.biblegateway.com/passage/?search=Mark%208,%20Genesis%2036,%202%20Corinthians%204,%201%20John%201,%20Job%2036,%20Psalms%2036,%20Proverbs%205,%20Judges%2012,%20Isaiah%2036,%20Acts%208&version=NLT"
"Bible reading","02/06/14","06:00:00 AM","02/06/14","06:30:00 AM","False","Mark 9; Genesis 37; 2 Corinthians 5; 1 John 2; Job 37; Psalms 37; Proverbs 6; Judges 13; Isaiah 37; Acts 9

http://www.biblegateway.com/passage/?search=Mark%209,%20Genesis%2037,%202%20Corinthians%205,%201%20John%202,%20Job%2037,%20Psalms%2037,%20Proverbs%206,%20Judges%2013,%20Isaiah%2037,%20Acts%209&version=NLT"
"Bible reading","02/07/14","06:00:00 AM","02/07/14","06:30:00 AM","False","Mark 10; Genesis 38; 2 Corinthians 6; 1 John 3; Job 38; Psalms 38; Proverbs 7; Judges 14; Isaiah 38; Acts 10

http://www.biblegateway.com/passage/?search=Mark%2010,%20Genesis%2038,%202%20Corinthians%206,%201%20John%203,%20Job%2038,%20Psalms%2038,%20Proverbs%207,%20Judges%2014,%20Isaiah%2038,%20Acts%2010&version=NLT"
